compound_id,smiles_std,in_AD_maccs,ad_dist_maccs,maccs_model_top1,maccs_prob_top1,maccs_pred_top1,maccs_top3_votes,in_AD_mordred,ad_dist_mordred,mordred_model_top1,mordred_prob_top1,mordred_pred_top1,mordred_top3_votes,in_AD_ambos,activo_ambos_top1,candidato_MoA_FP2,prob_media
gallinamide_analogo_n ovo_7,CN(C)[C@@H](CC1=CC=CC=C1)C(O[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC2=CC=CC=C2)/C=C/C(N3C(C=C(OC)[C@@H]3C)=O)=O)=O)=O)=O,True,7.121838718033834,SVM_RBF,0.8963452965431891,1,3,True,8.409136338222089,KNeighbors,0.8571428571428571,1,3,True,True,True,0.876744076843023
gallinamide_analogo_novo_21,CN([C@H](C(O[C@H](C(N[C@H](C(N[C@H](/C=C/C(N1C(C=C([C@@H]1C)OC)=O)=O)CC2=CC=CC=C2)=O)CC(C)C)=O)CC(C)C)=O)CC3=CC=CC=C3)C,True,7.121838718033834,SVM_RBF,0.8963452965431891,1,3,True,8.409136338222009,KNeighbors,0.8571428571428571,1,3,True,True,True,0.876744076843023
gallinamide_analogo_n ovo_4,CN(C)[C@@H](CC1=CC=CC=C1)C(O[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](C)/C=C/C(N2C(C=C(OC)[C@@H]2CC3=CC=CC=C3)=O)=O)=O)=O)=O,True,6.853008825135511,SVM_RBF,0.8391008710630283,1,3,True,9.537347357768411,KNeighbors,0.8571428571428571,1,3,True,True,True,0.8481218641029427
gallinamide_analogo_novo_18,CN([C@H](C(O[C@H](C(N[C@H](C(N[C@H](/C=C/C(N1C(C=C([C@@H]1CC2=CC=CC=C2)OC)=O)=O)C)=O)CC(C)C)=O)CC(C)C)=O)CC3=CC=CC=C3)C,True,6.853008825135511,SVM_RBF,0.8391008710630283,1,3,True,9.537347357768557,KNeighbors,0.8571428571428571,1,3,True,True,True,0.8481218641029427
gallina mide_analogo_novo_9,CN(C)[C@@H](CC1=CC=CC=C1)C(O[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC2=CC=CC=C2)/C=C/C(N3C(C=C(OC)[C@@H]3CC4=CC=CC=C4)=O)=O)=O)=O)=O,True,6.853008825135511,SVM_RBF,0.8391008710630283,1,3,True,9.977438033927971,KNeighbors,0.8571428571428571,1,3,True,True,True,0.8481218641029427
gallinamide_anal ogo_novo_24,CN([C@H](C(O[C@H](C(N[C@H](C(N[C@H](/C=C/C(N1C(C=C([C@@H]1CC2=CC=CC=C2)OC)=O)=O)CC3=CC=CC=C3)=O)CC(C)C)=O)CC(C)C)=O)CC4=CC=CC=C4)C,True,6.853008825135511,SVM_RBF,0.8391008710630283,1,3,True,9.977438033928044,KNeighbors,0.8571428571428571,1,3,True,True,True,0.8481218641029427
gallinamide_analog o_novo_22,CN([C@H](C(O[C@H](C(N[C@H](C(N[C@H](/C=C/C(N1C(C=C([C@H]1CC2=CC=CC=C2)OC)=O)=O)CC3=CC=CC=C3)=O)CC(C)C)=O)CC(C)C)=O)CC4=CC=CC=C4)C,True,6.853008825135511,SVM_RBF,0.8391008710630283,1,3,True,9.977438033928044,KNeighbors,0.8571428571428571,1,3,True,True,True,0.8481218641029427
gallinamid e_analogo_novo_13,CN(C)[C@@H](CC1=CC=CC=C1)C(O[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC2=CC=CC=C2)/C=C/C(N3C(C=C(OC)[C@H]3CC4=CC=CC=C4)=O)=O)=O)=O)=O,True,6.853008825135511,SVM_RBF,0.8391008710630283,1,3,True,9.977438033927971,KNeighbors,0.8571428571428571,1,3,True,True,True,0.8481218641029427
gallinamide_an alogo_novo_35,O=C1N(C(/C=C/[C@H](CCC2=CC=CC=C2)NC([C@H](CC(C)C)NC([C@H](CC(C)C)NC(C3CCN(C)CC3)=O)=O)=O)=O)C(CC4=CC=C(C5=CC=C(OC)C=C5)C=C4)C(OC)=C1,True,6.794625629783008,SVM_RBF,0.8235385824453125,1,3,True,10.228073686784757,KNeighbors,0.8571428571428571,1,3,True,True,True,0.8403407197940849
gallina mide_analogo_novo_39,O=C1N(C(/C=C/[C@H](CCC2=CC=CC=C2)NC([C@H](CC(C)C)NC([C@H](CC(C)C)NC(C3CCN(C)CC3)=O)=O)=O)=O)C(CC4=CC=C(C5=CC(C=CC=C6)=C6C=C5)C=C4)C(OC)=C1,True,5.786477264934122,SVM_RBF,0.7924850085926722,1,3,True,11.438529029817664,KNeighbors,0.8571428571428571,1,3,True,True,True,0.8248139328677646
gallinamide_analogo_novo_16,CN(C)[C@@H]([C@@H](C)CC)C(O[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](C)/C=C/C(N1C(C=C(OCCCCC#C)[C@@H]1C)=O)=O)=O)=O)=O,True,11.097446771259431,SVM_RBF,0.6153870325865277,1,3,True,10.32205176545283,KNeighbors,1.0,1,3,True,True,True,0.8076935162932639
gallinamide_a nalogo_novo_37,O=C1N(C(/C=C/[C@H](CCC2=CC=CC=C2)NC([C@H](CC(C)C)NC([C@H](CC(C)C)NC(C3CCN(C)CC3)=O)=O)=O)=O)C(CC4=CC=C(C5=CC=C(C#N)C=C5)C=C4)C(OC)=C1,True,7.3093385780930245,SVM_RBF,0.8532084296961991,1,3,True,11.135942707708168,KNeighbors,0.7142857142857143,1,3,True,True,True,0.7837470719909567
gallinamide_analogo_novo_27,C[C@@H](/C=C/C(N1[C@@H](CC2=CNC3=C2C=CC=C3)C(OC)=CC1=O)=O)NC([C@H](CC(C)C)NC([C@H](CC(C)C)NC([C@H](C(C)C)N(C)C)=O)=O)=O,True,2.984711261297094,SVM_RBF,0.8490288545465432,1,3,True,3.3018948628222398,KNeighbors,0.7142857142857143,1,3,True,True,True,0.7816572844161287
gallinamide_analog o_novo_31,O=C1N(C(/C=C/[C@H](CCC2=CC=CC=C2)NC([C@H](CC(C)C)NC([C@H](CC(C)C)NC(C3CCN(C)CC3)=O)=O)=O)=O)C(CC4=CC=C(C5=CC=CC=C5)C=C4)C(OC)=C1,True,6.461898075459514,SVM_RBF,0.817235878488293,1,3,True,9.932706185513133,KNeighbors,0.7142857142857143,1,3,True,True,True,0.7657607963870037
gallinamid e_analogo_novo_33,O=C1N(C(/C=C/[C@H](CCC2=CC=CC=C2)NC([C@H](CC(C)C)NC([C@H](CC(C)C)NC(C3CCN(C)CC3)=O)=O)=O)=O)C(CC4=CC=C(C5=CC=C(C(F)(F)F)C=C5)C=C4)C(OC)=C1,True,8.312606090298289,SVM_RBF,0.8627698125210125,1,3,True,13.296176629245442,KNeighbors,0.5714285714285714,1,3,True,True,True,0.717099191974792
