Molecule ChEMBL ID,smiles_std,in_AD_maccs,ad_dist_maccs,maccs_model_top1,maccs_prob_top1,maccs_pred_top1,maccs_top3_votes,in_AD_mordred,ad_dist_mordred,mordred_model_top1,mordred_prob_top1,mordred_pred_top1,mordred_top3_votes,in_AD_ambos,activo_ambos_top1,candidato_MoA_FP2,prob_media
CHEMBL1793826,CCC(=O)C(F)CCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,True,13.14527351636599,SVM_RBF,0.9279086685301078,1,3,True,13.03516647605979,KNeighbors,0.5714285714285714,1,1,True,True,True,0.7496686199793396
CHEMBL1233097,N=C(N)c1ccc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)cc1,True,9.321964506843083,SVM_RBF,0.6279726118071352,1,3,True,13.715056980670672,KNeighbors,0.8571428571428571,1,1,True,True,True,0.7425577344749961
CHEMBL2371003,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)C(C)F)NC(=O)[C@H]2CCCCN2C1=O,True,13.351830111278497,SVM_RBF,0.9129198778246392,1,3,True,13.606446056638188,KNeighbors,0.5714285714285714,1,1,True,True,True,0.7421742246266053
CHEMBL4086037,CCCCCC(=O)N[C@@H](Cc1ccncc1)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](Cc1ccccc1)C(=O)[C@@]1(C)CO1,True,11.094204274074967,SVM_RBF,0.76986017325625,1,3,True,10.976803892556145,KNeighbors,0.7142857142857143,1,3,True,True,True,0.7420729437709821
CHEMBL1793820,CCC(=O)C(=O)CCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,True,12.251671966614985,SVM_RBF,0.9115821105422887,1,3,True,13.294173591193452,KNeighbors,0.5714285714285714,1,1,True,True,True,0.74150534098543
CHEMBL3355637,NC(=O)c1ccc(-c2cnc3ccc(-c4cccc(S(=O)(=O)C5CC5)c4)nn23)cc1,True,13.230441119512722,SVM_RBF,0.76666758816632,1,2,True,12.767436003183079,KNeighbors,0.7142857142857143,1,1,True,True,True,0.7404766512260171
CHEMBL4128902,CC(C)[C@H](N)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CCN(C[C@H](O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](N)C(C)C)CC1,True,9.693273529683678,SVM_RBF,0.622625929714494,1,3,True,11.734795090826168,KNeighbors,0.8571428571428571,1,3,True,True,True,0.7398843934286756
CHEMBL3397108,C[C@H]1[C@@H](OC(=O)c2ccc(/C=C/C(=O)c3ccc(Cl)c(Cl)c3Cl)cc2)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,True,12.784842076689085,SVM_RBF,0.6206150541277562,1,3,True,12.28384363589802,KNeighbors,0.8571428571428571,1,3,True,True,True,0.7388789556353066
CHEMBL3329595,O=C(/C=C/c1cccc(NC(=O)Nc2ccccc2)c1)C[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,True,10.964964693857656,SVM_RBF,0.7630454491300458,1,3,True,9.324138027536229,KNeighbors,0.7142857142857143,1,2,True,True,True,0.73866558170788
CHEMBL346209,CCCOc1ccc(/C=C/C(=O)Nc2ccc(NC(=O)Cc3ccc(Cl)cc3)c(C(=O)c3ccccc3)c2)cc1,True,10.106642256228906,SVM_RBF,0.6181211550040954,1,3,True,9.270893110407666,KNeighbors,0.8571428571428571,1,2,True,True,True,0.7376320060734762
CHEMBL1793942,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)c2ccccc2)NC(=O)[C@H]2CCCCN2CC1=O,True,12.428678992270196,SVM_RBF,0.9037606711064013,1,3,True,12.556237172693438,KNeighbors,0.5714285714285714,1,1,True,True,True,0.7375946212674864
CHEMBL1793808,CCC(N)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,True,12.703926109929881,SVM_RBF,0.8988802901049835,1,3,True,12.581644699544077,KNeighbors,0.5714285714285714,1,1,True,True,True,0.7351544307667774
CHEMBL4099892,CC(C)CC(NS(=O)(=O)c1ccc(N)cc1)c1nc2ccccc2c(=O)n1-c1ccccc1Cl,True,12.180549299078987,SVM_RBF,0.5998796166390596,1,3,True,13.84644642905206,KNeighbors,0.8571428571428571,1,3,True,True,True,0.7285112368909583
CHEMBL4073025,CC(C)CC(NS(=O)(=O)c1ccc(N)cc1)c1nc2ccccc2c(=O)n1-c1cccc(Cl)c1,True,12.180549299078987,SVM_RBF,0.5998796166390596,1,3,True,13.449349067790104,KNeighbors,0.8571428571428571,1,1,True,True,True,0.7285112368909583
CHEMBL4092150,CC(C)CC(NS(=O)(=O)c1ccc(N)cc1)c1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1,True,12.180549299078987,SVM_RBF,0.5998796166390596,1,3,True,13.215144094583962,KNeighbors,0.8571428571428571,1,1,True,True,True,0.7285112368909583
CHEMBL195844,Cc1ccc(/C=C/C(=O)c2cccc(NC(=O)Nc3ccccc3)c2)cc1,True,6.1702494517543585,SVM_RBF,0.5993592301408834,1,3,True,7.20018399285752,KNeighbors,0.8571428571428571,1,2,True,True,True,0.7282510436418703
CHEMBL5280687,CCC(=O)CCCCC[C@@H]1CC(=O)C2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,True,12.646161213940653,SVM_RBF,0.8841426892864043,1,3,True,12.721771446491532,KNeighbors,0.5714285714285714,1,1,True,True,True,0.7277856303574879
CHEMBL459511,Cc1cc(NC(=O)c2ccco2)c2cc(NC(=O)Nc3ccc(Cl)cc3)ccc2n1,True,9.073416486728835,SVM_RBF,0.738960961596439,1,3,True,11.138859279891623,KNeighbors,0.7142857142857143,1,1,True,True,True,0.7266233379410767
CHEMBL3601451,CC(C)(O)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,True,8.840630882996225,SVM_RBF,0.8795308817524864,1,3,True,7.073403637475451,KNeighbors,0.5714285714285714,1,3,True,True,True,0.7254797265905288
CHEMBL1793991,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(CN3CCCC3)c3ccccc23)NC1=O,True,11.151740167698904,SVM_RBF,0.735448613533477,1,3,True,12.600668138591475,KNeighbors,0.7142857142857143,1,1,True,True,True,0.7248671639095956
CHEMBL4064509,CCCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](Cc1ccccc1)C(=O)[C@@]1(C)CO1,True,10.971157020515001,SVM_RBF,0.7250769986280645,1,3,True,10.642819407717388,KNeighbors,0.7142857142857143,1,3,True,True,True,0.7196813564568894
CHEMBL200871,O=C(Nc1ccc(Oc2ccc(Cl)cc2O)c(Cl)c1)c1ccccc1,True,9.771054521133637,SVM_RBF,0.7234469104439222,1,3,True,9.92711773225233,KNeighbors,0.7142857142857143,1,1,True,True,True,0.7188663123648182
CHEMBL153283,CCCOc1ccc(/C=C/C(=O)Nc2ccc(NC(=O)Cc3ccccc3Br)c(C(=O)c3ccccc3)c2)cc1,True,12.73000812875777,SVM_RBF,0.579167532497992,1,3,True,12.129971585819522,KNeighbors,0.8571428571428571,1,1,True,True,True,0.7181551948204246
CHEMBL3948015,COc1ccc(C2(C3CC3)NC(=N)N(C3CCOCC3)C2=O)cc1-c1cccc(C#N)c1,True,12.270553515353328,SVM_RBF,0.8509382471980775,1,2,True,14.773411406415454,KNeighbors,0.5714285714285714,1,1,True,True,True,0.7111834093133245
CHEMBL2349166,C[C@@H]1C[C@H](C)C[C@H](C)[C@@H](O)CC(=O)O[C@H]([C@@H]2CCC[C@H]2C(=O)N[C@H](C)C(=O)O)C/C=C/C=C(/C#N)[C@H](O)[C@@H](C)C1,True,12.287829645952113,SVM_RBF,0.7036945566907447,1,3,True,12.479173603245933,KNeighbors,0.7142857142857143,1,3,True,True,True,0.7089901354882295
CHEMBL2349162,C[C@@H]1C[C@H](C)C[C@H](C)[C@@H](O)CC(=O)O[C@H]([C@@H]2CCC[C@H]2C(=O)N[C@@H](C)C(=O)O)C/C=C/C=C(/C#N)[C@H](O)[C@@H](C)C1,True,12.287829645952113,SVM_RBF,0.7036945566907447,1,3,True,12.479173603245933,KNeighbors,0.7142857142857143,1,3,True,True,True,0.7089901354882295
CHEMBL5274518,CC1(C)COC(C2CCC(NC3CCC(Nc4ccnc5cc(Cl)ccc45)CC3)CC2)OO1,True,11.925576771728302,SVM_RBF,0.7011401163363735,1,3,True,12.070192408353922,KNeighbors,0.7142857142857143,1,2,True,True,True,0.707712915311044
CHEMBL1215566,CC(C)CN(NC(=O)c1ccc(-c2ccc(CN3CCN(C)CC3)cc2)o1)c1nc(C#N)ncc1Br,True,12.94601773941785,SVM_RBF,0.5576998786059107,1,1,True,14.683019137653528,KNeighbors,0.8571428571428571,1,3,True,True,True,0.7074213678743839
CHEMBL10835,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c(Cl)c1,True,6.49054659035738,SVM_RBF,0.6964474896121486,1,2,True,10.862380702501605,KNeighbors,0.7142857142857143,1,2,True,True,True,0.7053666019489315
CHEMBL2063018,O=C(/C(=C/c1ccc(F)cc1)Oc1ccc(/C=N/Nc2ccnc3cc(Cl)ccc23)cc1)c1ccc(Cl)cc1,True,11.543966684121637,SVM_RBF,0.5526222048153684,1,3,True,9.956537080375206,KNeighbors,0.8571428571428571,1,2,True,True,True,0.7048825309791127
CHEMBL1793973,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](c2cn(OC)c3ccccc3c2=O)NC1=O,True,12.803953956038146,SVM_RBF,0.8378670623423898,1,3,True,14.523374117173898,KNeighbors,0.5714285714285714,1,1,True,True,True,0.7046478168854806
